RestaurantID,RestaurantName,City,Cuisine,Rating,CostForTwo,FoodType
1,Hyderabad Express,Hyderabad,Chinese,3.4,500,Veg
2,Royal Plaza,Hyderabad,Fast Food,3.8,600,Non-Veg
3,Royal Bowl,Pune,Biryani,3.1,300,Both
4,Classic Hub,Bengaluru,Biryani,4.4,400,Non-Veg
5,The Table,Chennai,Bakery,3.9,450,Non-Veg
6,Hyderabad Bites,Chennai,Bakery,3.3,350,Veg
7,Grand Spot,Chennai,Bakery,4.9,250,Veg
8,Coastal Hub,Pune,Street Food,4.5,150,Veg
9,Bombay Palace,Chennai,Chinese,3.2,700,Non-Veg
10,Biryani Hut,Bengaluru,Desserts,4.8,700,Veg
11,Bombay Junction,Ahmedabad,Street Food,3.4,500,Veg
12,Tasty Kitchen,Hyderabad,Bakery,3.3,600,Non-Veg
13,Spice Diner,Hyderabad,Chinese,3.5,250,Non-Veg
14,Royal Bites,Delhi,Bakery,4.3,250,Veg
15,Classic Express,Mumbai,Desserts,4.3,800,Non-Veg
16,Bombay Corner,Chennai,Fast Food,3.5,250,Both
17,Momo Table,Chennai,Chinese,4.3,600,Both
18,South Express,Hyderabad,Bakery,4.5,450,Non-Veg
19,Sizzling House,Delhi,North Indian,4.8,700,Non-Veg
20,Bombay Kitchen,Delhi,Bakery,3.5,700,Veg
21,Grand House,Chennai,South Indian,3.3,400,Veg
22,Tasty Diner,Ahmedabad,North Indian,3.4,300,Both
23,Tasty Express,Pune,South Indian,4.3,150,Non-Veg
24,Pizza Villa,Delhi,Biryani,3.8,450,Non-Veg
25,The Palace,Mumbai,Continental,4.5,700,Both
26,Coastal Point,Ahmedabad,South Indian,4.5,150,Non-Veg
27,Green Corner,Mumbai,Desserts,3.2,450,Veg
28,Tasty Garden,Mumbai,Desserts,4.0,700,Non-Veg
29,Spice Villa,Delhi,Bakery,4.7,250,Veg
30,Urban Diner,Hyderabad,Italian,3.7,600,Both
31,The Cafe,Pune,Fast Food,3.3,150,Non-Veg
32,Bombay Garden,Ahmedabad,Chinese,2.9,150,Non-Veg
33,Tasty Treats,Ahmedabad,Italian,3.0,300,Veg
34,Sizzling Bowl,Ahmedabad,South Indian,3.4,450,Non-Veg
35,Grand Cafe,Mumbai,Street Food,3.6,400,Non-Veg
36,Biryani Point,Ahmedabad,North Indian,3.4,500,Non-Veg
37,Coastal Cafe,Bengaluru,Chinese,4.4,800,Veg
38,The Villa,Hyderabad,Street Food,2.9,450,Both
39,Momo Garden,Ahmedabad,Bakery,4.7,500,Non-Veg
40,Tasty Palace,Bengaluru,Street Food,4.0,600,Both
41,South House,Mumbai,Continental,3.2,250,Veg
42,Punjabi House,Bengaluru,Biryani,3.0,800,Non-Veg
43,South Cafe,Chennai,South Indian,3.0,600,Non-Veg
44,The Diner,Pune,Street Food,3.8,150,Both
45,South Hut,Kolkata,South Indian,3.7,250,Both
46,Bombay Hut,Mumbai,South Indian,4.0,200,Non-Veg
47,The Express,Kolkata,Fast Food,3.6,500,Both
48,South Table,Bengaluru,Chinese,3.4,250,Both
49,South Palace,Bengaluru,Biryani,4.7,400,Both
50,Coastal Kitchen,Ahmedabad,Fast Food,4.7,150,Non-Veg
51,Sizzling Treats,Pune,Continental,4.6,800,Veg
52,Coastal House,Pune,Continental,4.4,400,Non-Veg
53,Momo Plaza,Mumbai,Italian,3.7,450,Both
54,Biryani Kitchen,Delhi,South Indian,3.5,600,Non-Veg
55,Golden Spot,Bengaluru,Chinese,3.2,300,Veg
56,Pizza Kitchen,Chennai,Italian,3.4,500,Both
57,Dosa Corner,Bengaluru,Italian,3.6,700,Non-Veg
58,Hyderabad Table,Chennai,Desserts,3.1,350,Both
59,Spice Palace,Bengaluru,Chinese,4.6,300,Veg
60,Coastal Junction,Pune,Biryani,3.9,800,Veg
61,Hyderabad Plaza,Bengaluru,Italian,3.3,350,Both
62,Green Villa,Kolkata,Desserts,3.8,300,Non-Veg
63,Sizzling Spot,Kolkata,Bakery,3.0,600,Both
64,Biryani Garden,Pune,Fast Food,4.2,500,Veg
65,Curry Cafe,Chennai,Fast Food,3.3,800,Non-Veg
66,Dosa Diner,Delhi,North Indian,4.2,350,Non-Veg
67,Momo Palace,Kolkata,North Indian,4.0,700,Veg
68,Curry Hub,Ahmedabad,Desserts,3.9,250,Both
69,The Point,Pune,South Indian,3.8,350,Both
70,Curry Bowl,Hyderabad,Desserts,3.3,350,Non-Veg
71,Curry Express,Pune,Bakery,3.4,200,Non-Veg
72,Royal Hut,Mumbai,Continental,4.7,600,Veg
73,Dosa Spot,Pune,Biryani,2.9,250,Veg
74,Punjabi Diner,Kolkata,Bakery,4.7,500,Veg
75,Curry Point,Mumbai,Continental,3.5,250,Non-Veg
76,Pizza Cafe,Hyderabad,Chinese,4.0,250,Non-Veg
77,Tasty House,Kolkata,Biryani,3.6,500,Non-Veg
78,Spice Kitchen,Hyderabad,Desserts,4.8,400,Both
79,Punjabi Bites,Bengaluru,Italian,3.3,400,Non-Veg
80,Golden Corner,Kolkata,Street Food,4.0,250,Veg
81,Royal Treats,Pune,Continental,4.3,700,Both
82,Curry Villa,Delhi,Desserts,4.9,500,Non-Veg
83,Punjabi Point,Kolkata,North Indian,3.3,250,Veg
84,Spice Hut,Delhi,South Indian,3.6,800,Veg
85,Dosa Cafe,Bengaluru,Bakery,4.9,800,Veg
86,Urban Villa,Ahmedabad,Biryani,3.1,350,Non-Veg
87,Golden Junction,Bengaluru,Fast Food,3.7,200,Both
88,Classic Cafe,Delhi,Biryani,4.5,200,Both
89,South Corner,Pune,South Indian,4.4,500,Veg
90,South Junction,Pune,Street Food,4.8,400,Both
91,Momo Treats,Delhi,North Indian,4.0,300,Both
92,Grand Diner,Hyderabad,North Indian,2.8,200,Veg
93,Bombay Table,Delhi,South Indian,4.4,200,Both
94,Urban Cafe,Hyderabad,Continental,4.9,350,Non-Veg
95,Urban Point,Bengaluru,Fast Food,3.6,800,Non-Veg
96,Momo Corner,Mumbai,North Indian,2.8,250,Both
97,Hyderabad Diner,Chennai,Continental,4.8,350,Both
98,Urban Palace,Kolkata,Continental,3.4,450,Both
99,Grand Villa,Delhi,South Indian,3.1,150,Veg
100,Bombay Zone,Delhi,Bakery,3.6,400,Both
101,Spice House,Ahmedabad,Continental,3.0,450,Non-Veg
102,Green Diner,Bengaluru,Street Food,4.4,700,Both
103,Bombay Hub,Chennai,Street Food,3.9,700,Veg
104,Momo Hub,Ahmedabad,Desserts,4.2,800,Non-Veg
105,Golden Garden,Bengaluru,North Indian,4.2,250,Both
106,Grand Table,Delhi,South Indian,4.4,400,Veg
107,Royal Spot,Hyderabad,Street Food,4.2,450,Veg
108,Tasty Zone,Ahmedabad,Bakery,3.7,500,Non-Veg
109,Curry Corner,Ahmedabad,North Indian,3.0,450,Veg
110,The Garden,Bengaluru,South Indian,4.5,700,Both
111,The Junction,Ahmedabad,Desserts,3.6,150,Veg
112,Pizza Diner,Ahmedabad,Desserts,4.3,200,Veg
113,Coastal Bites,Chennai,Desserts,4.5,350,Both
114,Urban Kitchen,Delhi,Continental,3.1,450,Veg
115,Green Plaza,Hyderabad,Italian,3.1,450,Veg
116,Pizza Junction,Chennai,South Indian,4.4,150,Both
117,Pizza Zone,Delhi,Continental,2.8,150,Both
118,Momo Hut,Ahmedabad,Street Food,4.4,250,Both
119,Bombay Point,Delhi,South Indian,3.6,700,Both
120,Curry Spot,Kolkata,Biryani,4.9,300,Non-Veg
121,Sizzling Zone,Delhi,Chinese,3.7,600,Non-Veg
122,Punjabi Junction,Pune,Desserts,4.7,250,Both
123,Hyderabad Spot,Chennai,South Indian,4.4,600,Non-Veg
124,Sizzling Villa,Bengaluru,Street Food,3.0,450,Veg
125,Royal Kitchen,Hyderabad,Fast Food,4.4,250,Non-Veg
126,Green House,Bengaluru,Fast Food,3.2,600,Veg
127,Biryani Zone,Mumbai,Bakery,4.6,600,Veg
128,Coastal Spot,Pune,North Indian,4.7,450,Non-Veg
129,Curry Garden,Bengaluru,North Indian,4.4,300,Both
130,Pizza Hub,Chennai,Bakery,3.9,700,Veg
131,Punjabi Treats,Ahmedabad,Chinese,4.9,200,Veg
132,Royal Villa,Pune,Street Food,3.4,250,Both
133,Green Bites,Chennai,Continental,4.3,250,Veg
134,Golden Diner,Bengaluru,Bakery,4.6,350,Non-Veg
135,Biryani Bowl,Chennai,Street Food,3.3,250,Both
136,Tasty Spot,Delhi,Biryani,3.9,450,Veg
137,Biryani Hub,Hyderabad,Desserts,3.5,350,Veg
138,South Spot,Ahmedabad,Street Food,4.5,800,Veg
139,Urban Express,Ahmedabad,Italian,4.7,700,Both
140,Curry Palace,Mumbai,Biryani,3.3,350,Veg
141,Classic Spot,Ahmedabad,Continental,2.9,800,Veg
142,Tasty Corner,Delhi,Street Food,3.9,800,Veg
143,Punjabi Garden,Kolkata,South Indian,4.4,250,Veg
